Carga,Entrega,E.S.,Producto,Cantidad
04/12/2023,04/12/2023,AGUILERA,DIESEL,5000
04/12/2023,05/12/2023,AGUILERA,DIESEL,20000
04/12/2023,05/12/2023,AGUILERA,DIESEL,20000
05/12/2023,06/12/2023,CANATLAN,DIESEL,20000
05/12/2023,05/12/2023,PACHANGA,DIESEL/MAGNA,"2,000/500"
06/12/2023,07/12/2023,AGUILERA,DIESEL,20000
08/12/2023,08/12/2023,PACHANGA,MAGNA,7000
08/12/2023,09/12/2023,URUS,DIESEL,20000
08/12/2023,09/12/2023,AGUILERA,MAGNA,20000
08/12/2023,09/12/2023,AGUILERA,DIESEL,20000
08/12/2023,09/12/2023,CANATLAN,DIESEL,20000
09/12/2023,09/12/2023,PACHANGA,MAGNA,5000
